"Des Moines, IA","(41.588822, -93.620309)",9526
"Detroit, MI","(42.332916, -83.047853)",70785
"Durango, CO","(37.28225, -107.877762)",682
"El Paso, TX","(31.76006, -106.492257)",3758
"Fargo, ND","(36.731654, -119.785856)",871
"Fort Myers, FL","(40.253979, -103.801495)",15418
"Fresno, CA","(36.731654, -119.785856)",334
"Grand Rapids, MI","(47.925705, -97.036068)",9028
"Greensboro/High Point, NC","(36.072701, -79.793899)",1089
"Harrisburg, PA","(40.259572, -76.881821)",908
"Hartford, CT","(41.765775, -72.673356)",23788
"Houston, TX","(29.760803, -95.369506)",135345
"Indianapolis, IN","(39.76845, -86.156212)",50378
"Jacksonville, FL","(30.325968, -81.65676)",16900
"Kansas City, MO","(39.099792, -94.578559)",86601
"Knoxville, TN","(35.962631, -83.916677)",358
"Las Vegas, NV","(36.169202, -115.140597)",168142
"Little Rock, AR","(34.748745, -92.275105)",2797
"Los Angeles, CA (Metropolitan Area)","(34.052238, -118.243344)",339091
"Louisville, KY","(38.256078, -85.751569)",7505
"Madison, WI","(43.073926, -89.385244)",6007
"Memphis, TN","(35.143378, -90.052136)",9676
"Miami, FL (Metropolitan Area)","(44.977479, -93.264346)",91267
"Midland/Odessa, TX","(31.997433, -102.078043)",372
"Milwaukee, WI","(43.041072, -87.909421)",46383
"Minneapolis/St. Paul, MN","(44.977479, -93.264346)",140954
"Nashville, TN","(36.166687, -86.779932)",41559
"New Orleans, LA","(29.950621, -90.074948)",41005
"New York City, NY (Metropolitan Area)","(40.123164, -75.333718)",245679
"Norfolk, VA (Metropolitan Area)","(36.846164, -76.285913)",10058
"Oklahoma City, OK","(35.468494, -97.521264)",30798
"Omaha, NE","(46.07035, -93.666319)",45333
"Orlando, FL","(28.538331, -81.378879)",101405
"Palm Springs, CA","(33.830302, -116.546843)",1666
"Philadelphia, PA","(39.951061, -75.16562)",77255
"Phoenix, AZ","(30.406931, -87.217578)",199713
"Pittsburgh, PA","(40.442169, -79.994945)",31818
"Portland, OR","(45.516018, -122.681425)",80988
"Raleigh/Durham, NC","(42.673348, -72.179683)",33968
"Reno, NV","(30.177159, -95.162771)",25734
"Richmond, VA","(37.540759, -77.433932)",3422
"Rochester, NY","(43.155708, -77.612547)",703
"Sacramento, CA","(38.582087, -121.50012)",50018
"Salt Lake City, UT","(40.758478, -111.888142)",97040
"San Antonio, TX","(29.425173, -98.494599)",39283
"San Diego, CA","(32.71576, -117.163817)",109981
"San Francisco, CA (Metropolitan Area)","(37.78008, -122.420168)",261541
"Santa Barbara, CA","(34.420867, -119.698342)",3414
"Seattle, WA","(47.603229, -122.33028)",132478
"Sioux Falls, SD","(43.488765, -96.743185)",1899
"South Bend, IN","(41.675032, -86.251962)",146
"Spokane, WA","(47.658999, -117.425022)",16808
"St. Louis, MO","(38.630276, -90.200309)",64757
"Syracuse, NY","(43.047945, -76.147448)",146
"Tampa, FL (Metropolitan Area)","(37.8606, -78.804199)",57894
"Tucson, AZ","(35.167852, -103.726151)",30119
"Tulsa, OK","(61.096484, -160.967455)",21911
"Washington, DC (Metropolitan Area)","(38.892062, -77.019912)",213355
"West Palm Beach/Palm Beach, FL","(33.90976, -98.500854)",3144
"Wichita, KS","(39.960481, -75.605214)",2856
